step,train_loss,eval_loss,lr
796,3.455127,,9.93562e-05
797,3.769114,,9.93536e-05
798,3.361469,,9.9351e-05
799,3.815629,,9.93484e-05
800,3.471273,,9.93458e-05
801,3.531393,,9.93432e-05
802,3.328798,,9.93406e-05
803,3.463763,,9.9338e-05
804,2.794460,,9.93354e-05
805,2.692806,,9.93327e-05
806,2.810665,,9.93301e-05
807,3.284348,,9.93274e-05
808,3.338924,,9.93248e-05
809,3.347233,,9.93221e-05
810,3.447685,,9.93195e-05
811,3.303634,,9.93168e-05
812,3.454393,,9.93141e-05
813,3.223265,,9.93115e-05
814,3.153716,,9.93088e-05
815,3.401065,,9.93061e-05
816,4.258660,,9.93034e-05
817,3.895150,,9.93007e-05
818,4.004189,,9.9298e-05
819,3.792402,,9.92953e-05
820,3.713894,,9.92926e-05
821,3.115651,,9.92899e-05
822,2.812053,,9.92871e-05
823,3.035433,,9.92844e-05
824,3.220718,,9.92817e-05
825,3.282238,,9.92789e-05
826,3.330710,,9.92762e-05
827,3.488465,,9.92735e-05
828,3.530744,,9.92707e-05
829,2.947296,,9.92679e-05
830,2.983181,,9.92652e-05
831,2.804381,,9.92624e-05
832,3.053814,,9.92596e-05
833,3.135260,,9.92569e-05
834,3.238637,,9.92541e-05
835,3.410497,,9.92513e-05
836,3.489534,,9.92485e-05
837,3.430470,,9.92457e-05
838,3.236522,,9.92429e-05
839,3.421135,,9.92401e-05
840,3.375830,,9.92373e-05
841,2.735323,,9.92344e-05
842,2.442328,,9.92316e-05
843,2.231252,,9.92288e-05
844,2.816538,,9.92259e-05
845,2.418560,,9.92231e-05
846,2.925930,,9.92203e-05
847,2.548552,,9.92174e-05
848,2.295343,,9.92146e-05
849,2.637812,,9.92117e-05
850,3.596043,,9.92088e-05
851,3.384926,,9.9206e-05
852,3.883332,,9.92031e-05
853,3.732880,,9.92002e-05
854,3.432947,,9.91973e-05
855,3.128188,,9.91944e-05
856,2.652767,,9.91915e-05
857,2.547609,,9.91886e-05
858,3.333703,,9.91857e-05
859,2.729539,,9.91828e-05
860,3.000256,,9.91799e-05
861,2.919329,,9.91769e-05
862,2.896716,,9.9174e-05
863,2.842590,,9.91711e-05
864,2.898187,,9.91681e-05
865,2.501397,,9.91652e-05
866,2.855653,,9.91623e-05
867,2.589903,,9.91593e-05
868,2.757465,,9.91563e-05
869,2.773956,,9.91534e-05
870,2.684120,,9.91504e-05
871,2.644120,,9.91474e-05
872,2.859441,,9.91444e-05
873,2.867337,,9.91415e-05
874,2.756026,,9.91385e-05
875,2.781944,,9.91355e-05
876,2.991075,,9.91325e-05
877,3.160203,,9.91295e-05
878,2.019200,,9.91265e-05
879,2.523316,,9.91234e-05
